from_node_id,to_node_id,day_no,start_time_in_min,end_time_in_min,sensor_type,direction,link_count,occupancy,travel_time,avg_speed
15532,15584,1,1200,1260,link_count,1,4376,,,
15532,15584,1,1260,1320,link_count,1,4060,,,
15532,15584,1,1320,1380,link_count,1,3505,,,
15532,15584,1,1380,1440,link_count,1,2079,,,
15585,15560,1,0,60,link_count,1,727,,,
15585,15560,1,60,120,link_count,1,520,,,
15585,15560,1,120,180,link_count,1,516,,,
15585,15560,1,180,240,link_count,1,863,,,
15585,15560,1,240,300,link_count,1,2097,,,
15585,15560,1,300,360,link_count,1,5462,,,
15585,15560,1,360,420,link_count,1,7185,,,
15585,15560,1,420,480,link_count,1,7729,,,
15585,15560,1,480,540,link_count,1,7039,,,
15585,15560,1,540,600,link_count,1,6106,,,
15585,15560,1,600,660,link_count,1,5258,,,
15585,15560,1,660,720,link_count,1,5276,,,
15585,15560,1,720,780,link_count,1,5368,,,
15585,15560,1,780,840,link_count,1,5446,,,
15585,15560,1,840,900,link_count,1,6290,,,
15585,15560,1,900,960,link_count,1,6336,,,
15585,15560,1,960,1020,link_count,1,6530,,,
15585,15560,1,1020,1080,link_count,1,6375,,,
15585,15560,1,1080,1140,link_count,1,6150,,,
15585,15560,1,1140,1200,link_count,1,4265,,,
15585,15560,1,1200,1260,link_count,1,3357,,,
15585,15560,1,1260,1320,link_count,1,2938,,,
15585,15560,1,1320,1380,link_count,1,2054,,,
15585,15560,1,1380,1440,link_count,1,1305,,,
15712,15533,1,0,60,link_count,1,1232,,,
15712,15533,1,60,120,link_count,1,745,,,
15712,15533,1,120,180,link_count,1,543,,,
15712,15533,1,180,240,link_count,1,543,,,
15712,15533,1,240,300,link_count,1,714,,,
15712,15533,1,300,360,link_count,1,1803,,,
15712,15533,1,360,420,link_count,1,3842,,,
15712,15533,1,420,480,link_count,1,6640,,,
15712,15533,1,480,540,link_count,1,5912,,,
15712,15533,1,540,600,link_count,1,5417,,,
15712,15533,1,600,660,link_count,1,4538,,,
15712,15533,1,660,720,link_count,1,4666,,,
15712,15533,1,720,780,link_count,1,4926,,,
15712,15533,1,780,840,link_count,1,5098,,,
15712,15533,1,840,900,link_count,1,5759,,,
15712,15533,1,900,960,link_count,1,5635,,,
15712,15533,1,960,1020,link_count,1,5304,,,
15712,15533,1,1020,1080,link_count,1,5576,,,
15712,15533,1,1080,1140,link_count,1,5493,,,
15712,15533,1,1140,1200,link_count,1,5362,,,
15712,15533,1,1200,1260,link_count,1,4182,,,
15712,15533,1,1260,1320,link_count,1,3543,,,
15712,15533,1,1320,1380,link_count,1,2878,,,
15712,15533,1,1380,1440,link_count,1,2087,,,
15530,15707,1,0,60,link_count,1,846,,,
15530,15707,1,60,120,link_count,1,548,,,
15530,15707,1,120,180,link_count,1,517,,,
15530,15707,1,180,240,link_count,1,759,,,
15530,15707,1,240,300,link_count,1,1523,,,
15530,15707,1,300,360,link_count,1,4096,,,
15530,15707,1,360,420,link_count,1,6788,,,
15530,15707,1,420,480,link_count,1,7030,,,
15530,15707,1,480,540,link_count,1,6387,,,
15530,15707,1,540,600,link_count,1,5464,,,
15530,15707,1,600,660,link_count,1,5317,,,
15530,15707,1,660,720,link_count,1,5029,,,
15530,15707,1,720,780,link_count,1,5058,,,
15530,15707,1,780,840,link_count,1,5141,,,
15530,15707,1,840,900,link_count,1,5727,,,
15530,15707,1,900,960,link_count,1,6186,,,
15530,15707,1,960,1020,link_count,1,6408,,,
15530,15707,1,1020,1080,link_count,1,6249,,,
15530,15707,1,1080,1140,link_count,1,5756,,,
15530,15707,1,1140,1200,link_count,1,4707,,,
15530,15707,1,1200,1260,link_count,1,3567,,,
15530,15707,1,1260,1320,link_count,1,3003,,,
15530,15707,1,1320,1380,link_count,1,2375,,,
15530,15707,1,1380,1440,link_count,1,1578,,,
15642,15712,1,0,60,link_count,1,1108,,,
15642,15712,1,60,120,link_count,1,671,,,
15642,15712,1,120,180,link_count,1,541,,,
15642,15712,1,180,240,link_count,1,608,,,
15642,15712,1,240,300,link_count,1,899,,,
15642,15712,1,300,360,link_count,1,2252,,,
15642,15712,1,360,420,link_count,1,4681,,,
15642,15712,1,420,480,link_count,1,6804,,,
15642,15712,1,480,540,link_count,1,5662,,,
15642,15712,1,540,600,link_count,1,5028,,,
15642,15712,1,600,660,link_count,1,4384,,,
15642,15712,1,660,720,link_count,1,4534,,,
15642,15712,1,720,780,link_count,1,4860,,,
15642,15712,1,780,840,link_count,1,5170,,,
15642,15712,1,840,900,link_count,1,6154,,,
15642,15712,1,900,960,link_count,1,6406,,,
15642,15712,1,960,1020,link_count,1,5915,,,
15642,15712,1,1020,1080,link_count,1,6051,,,
15642,15712,1,1080,1140,link_count,1,5882,,,
15642,15712,1,1140,1200,link_count,1,4692,,,
15642,15712,1,1200,1260,link_count,1,3805,,,
15642,15712,1,1260,1320,link_count,1,3307,,,
15642,15712,1,1320,1380,link_count,1,2492,,,
15642,15712,1,1380,1440,link_count,1,1762,,,
15707,15643,1,0,60,link_count,1,654,,,
15707,15643,1,60,120,link_count,1,461,,,
15707,15643,1,120,180,link_count,1,521,,,
15707,15643,1,180,240,link_count,1,838,,,
15707,15643,1,240,300,link_count,1,1908,,,
15707,15643,1,300,360,link_count,1,4857,,,
15707,15643,1,360,420,link_count,1,6293,,,
15707,15643,1,420,480,link_count,1,6195,,,
